ID,Block,Population,Tree,Acorn,Coastal_NonCoastal,Region,Distance_from_LS_in_Km,Distance_from_LS_in_mi,Latitude,Longitude,Acorn_Weight,Rooted__Yes_No_,Germited,Julian_Date_Germition,Log_Julian_Date_Germition_,X06_17_19_Height,Early_Growth_rate,X08_19_19_Height,Late_Growth_rate,Height_Growth_Rate,X06_24_19_Diameter,Early_Diameter_rate,Late_diameter_rate,Diameter_Growth_Rate,X06_17_19_Leaves,X06_24_19_Leaves,weight_g,leaf_area_cm2,SLA_cm2_g_,Log_SLA_cm2_g,Survived_Season__1_YES_,Mean_Annual_Temp,Isothermality,Temperature_Seasolity,Max_Temperature_of_Warmest_Month,Min__Temperature_of_Coldest_Month,Annual_Precipitation,Precipitation_of_Wettest_Month,Precipitation_of_Driest_Month,Precipitation_Seasolity__Coefficient_of_Variation_,Precipitation_of_Warmest_Quarter,Precipitation_of_Coldest_Quarter,Hardiness_Zone
19,1,TG,5,6,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,4.9764,1,1,138,4.927253685,4.7,1.05,11.1,0.057142857,0.963636364,1.81,,0.156,,,9,0.215,47.24,219.7209302,5.392358242,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
20,1,BS,10,22,Non Coastal,Inland,82.07634,51,46.2071725,-92.819646,3.5932,1,1,149,5.003946306,12,1.65,12.6,0.071428571,0.054545455,2.69,0.1575,-0.01,0.086363636,4,4,0.2715,41.58,153.1491713,5.031412422,1,4.672093868,27.81402397,1194.266479,26.83200073,-19.47550011,764,109,17,51.18334961,313,70,3b
21,1,MS,8,8,Coastal,Coastal,14.0495382,8.73,46.6952234,-92.231578,4.7195,0,1,149,5.003946306,12.3,2.825,25.7,1.885714286,1.745454545,2.61,0.175,0.054,0.124545455,6,6,0.1602,39,243.4456929,5.49489389,1,4.152458191,25.63767052,1172.005493,25.53425026,-18.87874985,775,106,19,50.02258682,311,72,4b
22,1,MS,5,1,Coastal,Coastal,14.0495382,8.73,46.6952234,-92.231578,5.7755,0,1,147,4.990432587,9.3,2.025,9.5,0.028571429,0.272727273,2.32,0.1675,0.054,0.123636364,6,6,0.0966,18.35,189.9585921,5.246806112,1,4.152458191,25.63767052,1172.005493,25.53425026,-18.87874985,775,106,19,50.02258682,311,72,4b
23,1,TG,15,8,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,6.8901,1,1,149,5.003946306,10,2.25,10,,0.6,2.17,0.1825,0,0.110909091,5,5,0.194,44.2,227.8350515,5.428621909,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
24,1,SC,9,26,Non Coastal,Inland,76.282716,47.4,46.10411,-92.478812,5.113,0,1,143,4.96284463,12.8,2.225,23.1,1.428571429,1.009090909,3.31,0.2275,0,0.103636364,6,6,0.2487,49.89,200.6031363,5.30132851,1,5.027978897,27.62866592,1176.161377,26.52449989,-18.87400055,773,107,20,48.59677124,309,77,3b
25,1,MS,12,9,Coastal,Coastal,14.0495382,8.73,46.6952234,-92.231578,4.9805,0,1,151,5.017279837,11,,25.6,2.014285714,2.127272727,2.38,0.2,0,0.109090909,6,6,0.1252,24.43,195.1277955,5.273654706,1,4.152458191,25.63767052,1172.005493,25.53425026,-18.87874985,775,106,19,50.02258682,311,72,4b
26,1,NJ,1,8,Non Coastal,Inland,43.45218,27,46.4077174,-92.371857,4.0595,1,0,,,,,,,,,,,,,,,,,,0,4.456427097,27.64040565,1171.587646,26.26950073,-19.14175034,778,108,18,50.09030151,312,72,4b
27,1,FF,4,22,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,3.8225,0,1,149,5.003946306,12.2,,24.3,1.728571429,1.972727273,2.2,0.145,0.098,0.134545455,5,6,0.1728,38.91,225.1736111,5.41687171,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
28,1,GL,6,2,Non Coastal,Interior,99.296278,61.7,46.1243969,-92.997152,5.8745,0,0,,,,,,,,,,,,,,,,,,0,4.91877079,27.29777527,1205.415771,27.00625038,-19.66024971,767,108,18,50.07316208,311,71,3b
29,1,FF,8,8,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,4.0997,0,1,147,4.990432587,10.9,2.075,23.7,1.571428571,1.290909091,2.36,0.1925,0.128,0.166363636,4,5,0.2178,50.68,232.6905418,5.449709424,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
30,1,TG,4,9,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,6.9424,0,1,136,4.912654886,13.9,0.225,22.8,,0.872727273,3.14,0.215,-0.036,0.063636364,5,8,,,,,0,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
31,1,FF,13,23,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,3.6645,0,1,149,5.003946306,13.5,3.25,19.7,0.842857143,1.627272727,2.24,0.1425,0,0.092727273,4,4,0.1589,35.96,226.3058527,5.421887415,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
32,1,SC,10,2,Non Coastal,Inland,76.282716,47.4,46.10411,-92.478812,3.6633,0,0,,,,,,,,,,,,,,,,,,0,5.027978897,27.62866592,1176.161377,26.52449989,-18.87400055,773,107,20,48.59677124,309,77,3b
33,1,TG,7,20,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,5.5352,1,1,147,4.990432587,10.5,1.825,19.2,0.7,0.890909091,2.44,0.1325,0.004,0.080909091,6,11,0.1384,33.29,240.5346821,5.482864287,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
34,1,FF,9,15,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,5.3083,0,1,147,4.990432587,10.8,2.2,21.7,1.6,1.336363636,2.68,0.195,0.03,0.105454545,5,5,0.1768,42.55,240.6674208,5.483415984,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
35,1,TG,5,2,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,5.4056,1,1,149,5.003946306,11.4,2.475,20.1,1.228571429,1.081818182,2.64,0.11,0,0.061818182,5,5,0.174,38.45,220.9770115,5.398058676,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
36,1,FF,3,6,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,5.9306,0,1,155,5.043425117,13.5,,13.7,0.028571429,1.154545455,3.1,0.23,0,0.096363636,7,7,0.2848,54.22,190.3792135,5.249017944,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
37,1,TG,4,1,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,5.0845,1,0,,,,,,,,,,,,,,,,,,0,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
38,1,TG,3,6,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,2.7902,1,1,151,5.017279837,11.7,,14,0.314285714,1.181818182,2.19,0.1225,-0.056,0.037272727,4,4,0.157,34,216.5605096,5.377869998,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
39,1,BS,9,7,Non Coastal,Inland,82.07634,51,46.2071725,-92.819646,6.085,1,1,147,4.990432587,13.7,2.925,14.5,0.071428571,0.481818182,2.78,0.18,-0.062,0.085454545,7,7,0.2552,41.16,161.2852665,5.083174638,1,4.672093868,27.81402397,1194.266479,26.83200073,-19.47550011,764,109,17,51.18334961,313,70,3b
40,1,SC,10,6,Non Coastal,Inland,76.282716,47.4,46.10411,-92.478812,4.294,0,0,,,,,,,,,,,,,,,,,,0,5.027978897,27.62866592,1176.161377,26.52449989,-18.87400055,773,107,20,48.59677124,309,77,3b
41,1,TG,10,3,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,2.2118,1,1,136,4.912654886,6.9,0.45,11.5,0.128571429,0.472727273,2.57,0.23,0.002,0.092727273,4,4,0.2846,59.09,207.6247365,5.335732299,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
42,1,NJ,9,5,Non Coastal,Inland,43.45218,27,46.4077174,-92.371857,5.3248,1,1,143,4.96284463,8.7,0.2,14,0.728571429,0.463636364,2.61,0.1625,0.01,0.092727273,8,8,0.1341,30.35,226.3236391,5.421966006,1,4.456427097,27.64040565,1171.587646,26.26950073,-19.14175034,778,108,18,50.09030151,312,72,4b
43,1,TG,9,23,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,5.2978,1,0,,,,,,,,,,,,,,,,,,0,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
44,1,FF,14,11,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,3.6762,0,1,155,5.043425117,7,,7.3,0.042857143,,2.08,0.1875,0.012,0.091818182,6,6,0.1276,37.42,293.2601881,5.681060229,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
45,1,TG,12,5,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,5.6652,0,1,151,5.017279837,2.6,,2.8,0.028571429,0.118181818,1.68,0.1225,0,0.056363636,6,6,0.0184,6.01,326.6304348,5.788829363,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
46,1,BS,11,7,Non Coastal,Inland,82.07634,51,46.2071725,-92.819646,3.4926,1,1,143,4.96284463,13.5,1.8,13.6,,0.009090909,2.45,0.135,-0.016,0.106363636,4,4,0.2055,45.24,220.1459854,5.394290896,1,4.672093868,27.81402397,1194.266479,26.83200073,-19.47550011,764,109,17,51.18334961,313,70,3b
47,1,TG,1,9,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,4.0957,1,1,143,4.96284463,8.6,0.5,21.5,0.1,1.218181818,3.08,0.205,0.044,0.083636364,4,8,0.1487,33.95,228.3120377,5.43071328,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
48,1,TG,7,32,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,6.1979,1,1,143,4.96284463,9.2,0.875,9.5,0.028571429,0,2.9,0.115,0.064,0.103636364,4,4,0.2542,49.71,195.5546814,5.27584004,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
49,1,TG,10,27,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,2.9215,1,1,143,4.96284463,8.2,0.375,16,0.185714286,0.709090909,2.14,0.145,0.092,0.121818182,5,8,0.122,27.98,229.3442623,5.435224203,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
50,1,MS,12,1,Coastal,Coastal,14.0495382,8.73,46.6952234,-92.231578,3.6271,0,1,155,5.043425117,8.4,,8.5,0,0.681818182,1.73,0.1975,0,0.095454545,4,4,0.1034,21.12,204.2553191,5.319370776,1,4.152458191,25.63767052,1172.005493,25.53425026,-18.87874985,775,106,19,50.02258682,311,72,4b
51,1,TG,9,3,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,4.6524,1,1,143,4.96284463,9.3,0.75,19.1,0.2,0.890909091,2.65,0.1475,0.014,0.102727273,4,7,0.172,40.63,236.2209302,5.464767512,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
52,1,TG,2,33,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,3.8914,1,1,143,4.96284463,10.3,0.9,20.5,0.214285714,0.963636364,2.49,0.165,0.116,0.129090909,7,12,0.1768,41.71,235.9162896,5.463477037,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
53,1,TG,10,15,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,3.3363,1,1,143,4.96284463,9.5,1.4,20.4,,1.063636364,2.42,0.0925,0.082,0.067272727,4,9,0.1026,25.73,250.7797271,5.524574973,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
54,1,TG,9,11,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,4.0655,1,1,149,5.003946306,6.7,1.425,17.1,1.485714286,1.290909091,2.53,0.1775,0.166,0.148181818,7,7,0.2024,39.73,196.2944664,5.279615911,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
55,1,TG,14,8,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,4.9065,1,1,159,5.068904202,11.3,,13.3,0.285714286,,1.43,,0.066,,6,6,0.0576,13,225.6944444,5.419182069,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
56,1,MS,10,3,Coastal,Coastal,14.0495382,8.73,46.6952234,-92.231578,4.2802,0,1,149,5.003946306,14.9,3.6,25,1.442857143,1.627272727,2.6,0.135,0.068,0.114545455,4,8,0.1738,37.61,216.3981588,5.377120039,1,4.152458191,25.63767052,1172.005493,25.53425026,-18.87874985,775,106,19,50.02258682,311,72,4b
57,1,NJ,7,41,Non Coastal,Inland,43.45218,27,46.4077174,-92.371857,3.1364,1,1,147,4.990432587,12.2,2.55,12.4,0.028571429,0.445454545,2.21,0.11,0.006,0.074545455,4,4,,,,,1,4.456427097,27.64040565,1171.587646,26.26950073,-19.14175034,778,108,18,50.09030151,312,72,4b
58,1,TG,15,12,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,6.8696,1,1,147,4.990432587,13.8,2.375,23.4,1.371428571,1.245454545,2.85,0.1525,0,0.118181818,6,6,0.1728,36.6,211.8055556,5.355668663,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
59,1,FF,1,9,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,3.6732,0,1,155,5.043425117,13,,23.1,1.4,2.009090909,2.35,0.3025,0.016,0.189090909,6,6,0.1211,32.08,264.9050372,5.579371411,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
60,1,FF,6,3,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,3.2777,0,0,,,,,,,,,,,,,,,,,,0,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
61,1,TG,4,17,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,6.0833,1,0,,,,,,,,,,,,,,,,,,0,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
62,1,TG,5,22,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,6.046,1,1,143,4.96284463,10,0.9,23.3,0.014285714,1.254545455,2.61,0.19,-0.082,0.125454545,4,10,0.2608,56.54,216.7944785,5.378949801,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
63,1,BS,2,6,Non Coastal,Inland,82.07634,51,46.2071725,-92.819646,7.0361,0,0,,,,,,,,,,,,,,,,,,0,4.672093868,27.81402397,1194.266479,26.83200073,-19.47550011,764,109,17,51.18334961,313,70,3b
64,1,SC,7,14,Non Coastal,Inland,76.282716,47.4,46.10411,-92.478812,4.1703,0,0,,,,,,,,,,,,,,,,,,0,5.027978897,27.62866592,1176.161377,26.52449989,-18.87400055,773,107,20,48.59677124,309,77,3b
65,1,NJ,5,5,Non Coastal,Inland,43.45218,27,46.4077174,-92.371857,4.342,0,0,,,,,,,,,,,,,,,,,,0,4.456427097,27.64040565,1171.587646,26.26950073,-19.14175034,778,108,18,50.09030151,312,72,4b
66,1,BS,8,17,Non Coastal,Inland,82.07634,51,46.2071725,-92.819646,2.0697,0,0,,,,,,,,,,,,,,,,,,0,4.672093868,27.81402397,1194.266479,26.83200073,-19.47550011,764,109,17,51.18334961,313,70,3b
67,1,BS,3,5,Non Coastal,Inland,82.07634,51,46.2071725,-92.819646,4.7271,1,1,151,5.017279837,15.8,,15.2,-0.528571429,1.336363636,2.79,,-0.086,,6,6,0.183,37.76,206.3387978,5.329519467,1,4.672093868,27.81402397,1194.266479,26.83200073,-19.47550011,764,109,17,51.18334961,313,70,3b
68,1,SC,2,19,Non Coastal,Inland,76.282716,47.4,46.10411,-92.478812,4.1762,0,1,149,5.003946306,15,3.45,21.6,0.942857143,1.172727273,2.45,0.05,0.094,0.108181818,5,5,0.1901,46.34,243.7664387,5.496210548,1,5.027978897,27.62866592,1176.161377,26.52449989,-18.87400055,773,107,20,48.59677124,309,77,3b
69,1,FF,1,13,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,3.4699,0,1,159,5.068904202,10.9,,17.3,0.785714286,,1.82,,0.198,,5,5,0.1395,41.81,299.7132616,5.702826223,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
70,1,SC,2,3,Non Coastal,Inland,76.282716,47.4,46.10411,-92.478812,4.8885,0,1,157,5.056245805,13,,14,0.114285714,,2.1,0.2375,0.044,0.114545455,4,4,0.1077,23.64,219.4986072,5.391345887,1,5.027978897,27.62866592,1176.161377,26.52449989,-18.87400055,773,107,20,48.59677124,309,77,3b
71,1,TG,7,4,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,5.7727,1,1,147,4.990432587,17.7,3.775,24.9,1.028571429,1.072727273,2.47,0.1275,0.07,0.113636364,6,6,0.323,61.92,191.7027864,5.255946185,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
72,1,MS,9,10,Coastal,Coastal,14.0495382,8.73,46.6952234,-92.231578,3.65602,1,1,149,5.003946306,11.1,2.525,16.3,0.742857143,0.963636364,1.95,0.04,0.036,0.062727273,5,5,0.1382,35.29,255.3545586,5.542653005,1,4.152458191,25.63767052,1172.005493,25.53425026,-18.87874985,775,106,19,50.02258682,311,72,4b
73,1,SC,2,11,Non Coastal,Inland,76.282716,47.4,46.10411,-92.478812,2.9294,0,0,,,,,,,,,,,,,,,,,,0,5.027978897,27.62866592,1176.161377,26.52449989,-18.87400055,773,107,20,48.59677124,309,77,3b
74,1,TG,8,2,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,8.1214,1,1,149,5.003946306,13.1,2.725,23.7,1.414285714,1.3,2.29,0.1025,0.012,0.12,6,6,0.2895,62.9,217.2711572,5.381146146,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
75,1,TG,2,21,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,4.0932,1,1,138,4.927253685,15.4,0.6,15.8,0.057142857,0.054545455,3.46,0.33,0.05,0.12,7,7,0.1989,37.55,188.7883358,5.240626471,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
76,1,SC,11,6,Non Coastal,Inland,76.282716,47.4,46.10411,-92.478812,4.2155,0,1,149,5.003946306,8.5,2.075,11.1,0.371428571,0.736363636,2.22,0.0925,0.04,0.051818182,1,1,0.416,83.57,200.8894231,5.302754623,1,5.027978897,27.62866592,1176.161377,26.52449989,-18.87400055,773,107,20,48.59677124,309,77,3b
77,1,FF,1,41,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,4.49,0,1,143,4.96284463,15,3,23.6,1.228571429,1.245454545,2.68,0.2075,0,0.117272727,4,4,,,,,0,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
78,1,TG,3,18,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,2.8605,1,0,,,,,,,,,,,,,,,,,,0,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
79,1,BS,3,1,Non Coastal,Inland,82.07634,51,46.2071725,-92.819646,5.42,0,0,,,,,,,,,,,,,,,,,,0,4.672093868,27.81402397,1194.266479,26.83200073,-19.47550011,764,109,17,51.18334961,313,70,3b
80,1,NJ,7,25,Non Coastal,Inland,43.45218,27,46.4077174,-92.371857,5.1396,1,1,143,4.96284463,10.7,1.325,10.4,,-0.009090909,2.12,0.1025,-0.056,0.04,6,6,,,,,1,4.456427097,27.64040565,1171.587646,26.26950073,-19.14175034,778,108,18,50.09030151,312,72,4b
81,1,FF,10,11,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,4.0376,0,1,147,4.990432587,15.8,3.575,16.2,,0.781818182,2.37,0.13,-0.058,0.069090909,4,4,0.2422,36.95,152.5598679,5.027557095,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
82,1,TG,1,5,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,5.4284,1,0,,,,,,,,,,,,,,,,,,0,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
